bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
1268;44.5;9.0;27.0;-9.0;1.01773;100.0;1;45.0;44.0;0.0;36.879614;0.0
1268;44.5;9.0;27.0;-9.0;1.01773;100.0;1;45.0;44.0;0.0;102.818703;0.0
1356;13.200000000000001;-2.5;7.000000000000001;-12.0;1.014075;100.0;1;22.0;4.4;0.0;123.867753;0.0
89;15.0;2.0;13.0;-9.0;1.0;100.0;1;25.0;5.0;0.0;106.23021;0.0
125;14.04;-4.5;8.0;-17.0;1.01238;100.0;1;23.4;4.68;0.0;111.337642;0.0
908;12.0;1.95;2.0;1.9;1.004395;100.0;1;20.0;4.0;0.0;37.203873;0.0
817;0.0;0.0;1.0;0.9000000000000001;1.004235;100.0;0;12.0;2.4;0.0;49.778795;0.0
817;8.4;0.95;1.0;0.9000000000000001;1.004235;100.0;1;14.000000000000002;2.8;0.0;27.586445000000005;0.0
817;0.0;0.0;1.0;0.9000000000000001;1.004235;100.0;0;12.0;2.4;0.0;21.586989;0.0
1335;18.0;0.0;10.0;-10.0;1.0;100.0;1;30.0;6.0;0.0;102.922605;0.0
396;6.6000000000000005;3.0;5.0;1.0;1.0;100.0;1;11.0;2.2;0.0;23.347606;0.0
396;6.6000000000000005;3.0;5.0;1.0;1.0;100.0;1;11.0;2.2;0.0;110.7211;0.0
975;21.0;0.0;15.0;-15.0;1.0;100.0;1;35.0;7.000000000000001;0.0;26.419861;0.0
858;33.24;0.0;0.0;0.0;1.019305;100.0;1;55.39999999999999;11.08;0.0;30.601438;0.0
921;25.2;2.5;25.0;-20.0;1.0;100.0;1;42.0;8.4;0.0;42.569564;0.0
921;25.2;2.5;25.0;-20.0;1.0;100.0;1;42.0;8.4;0.0;22.993553;0.0
1255;52.2;0.8699999999999999;26.1;-24.36;1.01587;100.0;1;87.0;17.4;0.0;45.335599;0.0
169;4.98;0.0;8.3;-8.3;1.0;100.0;1;8.3;1.66;0.0;34.93723;0.0
448;2.0;0.0;0.0;0.0;1.01761;100.0;1;4.0;0.0;0.0;30.757753;0.0
241;7.8;0.0;5.0;-5.0;1.0;100.0;1;13.0;2.6;0.0;30.622515;0.0
241;7.8;0.0;5.0;-5.0;1.0;100.0;1;13.0;2.6;0.0;46.406787;0.0
241;7.8;0.0;5.0;-5.0;1.0;100.0;1;13.0;2.6;0.0;31.911806;0.0
241;7.8;0.0;5.0;-5.0;1.0;100.0;1;13.0;2.6;0.0;31.483515999999998;0.0
270;30.0;9.0;27.0;-9.0;1.00923;100.0;1;50.0;10.0;0.0;31.323377;0.0
885;4.8;0.0;0.0;0.0;1.018935;100.0;1;8.0;1.6;0.0;30.74473;0.0
885;4.8;0.0;0.0;0.0;1.018935;100.0;1;8.0;1.6;0.0;13.975616;0.0
876;32.4;0.0;0.0;0.0;1.018115;100.0;1;54.0;10.8;0.0;48.070538;0.0
46;18.0;3.0;10.0;-4.0;1.004215;100.0;1;30.0;6.0;0.0;111.022896;0.0
803;8.28;-0.465;4.63;-5.56;1.012885;100.0;1;13.8;2.76;0.0;44.77248899999999;0.0
356;24.84;0.415;12.42;-11.59;1.01705;100.0;1;41.4;8.28;0.0;43.154786;0.0
100;78.0;16.5;59.0;-26.0;1.01647;100.0;1;130.0;26.0;0.0;39.003663;0.0
