BUS;V_pu;Theta_deg;P_MW;Q_MVAr;PG_MW;QG_MVAr;PD_MW;QD_MVAr;Psh_MW;Qsh_MVAr
1;1.0;-28.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.0;-21.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.0;-29.64;-14.8;0.0;0.0;0.0;14.8;0.0;0.0;0.0
4;1.0;-35.32;-49.6;0.0;0.0;0.0;49.6;0.0;0.0;0.0
5;1.0;-61.36;-12.9;0.0;0.0;0.0;12.9;0.0;0.0;0.0
6;1.0;-23.26;-13.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0
7;1.0;-22.51;-2.3;0.0;0.0;0.0;2.3;0.0;0.0;0.0
8;1.0;-29.7;-15.8;0.0;0.0;0.0;15.8;0.0;0.0;0.0
9;1.0;-34.81;-14.9;0.0;0.0;0.0;14.9;0.0;0.0;0.0
10;1.0;-34.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.0;-34.52;-5.2;0.0;28.0;0.0;33.2;0.0;0.0;0.0
12;1.0;-13.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;1.0;-15.84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;1.0;-40.78;-63.2;0.0;0.0;0.0;63.2;0.0;0.0;0.0
15;1.0;-31.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1.0;-26.51;-13.9;0.0;0.0;0.0;13.9;0.0;0.0;0.0
17;1.0;-34.32;-10.9;0.0;0.0;0.0;10.9;0.0;0.0;0.0
18;1.0;-23.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1.0;-33.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
20;1.0;-23.54;-5.6;0.0;0.0;0.0;5.6;0.0;0.0;0.0
21;1.0;-31.45;-7.6;0.0;0.0;0.0;7.6;0.0;0.0;0.0
22;1.0;-25.12;-18.5;0.0;0.0;0.0;18.5;0.0;0.0;0.0
23;1.0;-25.84;-22.4;0.0;0.0;0.0;22.4;0.0;0.0;0.0
24;1.0;-33.58;-17.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0
25;1.0;-30.84;-54.7;0.0;0.0;0.0;54.7;0.0;0.0;0.0
26;1.0;-33.26;-15.1;0.0;0.0;0.0;15.1;0.0;0.0;0.0
27;1.0;-31.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;1.0;-34.9;-0.9;0.0;0.0;0.0;0.9;0.0;0.0;0.0
29;1.0;-29.09;-76.5;0.0;0.0;0.0;76.5;0.0;0.0;0.0
30;1.0;-34.31;-39.9;0.0;0.0;0.0;39.9;0.0;0.0;0.0
31;1.0;-25.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;1.0;-22.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;1.0;-22.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;1.0;-21.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;1.0;-20.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;1.0;-20.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;1.0;-27.36;2.7;0.0;0.0;0.0;-2.7;0.0;0.0;0.0
38;1.0;-31.47;-5.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
39;1.0;-49.27;-43.6;0.0;0.0;0.0;43.6;0.0;0.0;0.0
40;1.0;-39.87;-38.1;0.0;0.0;0.0;38.1;0.0;0.0;0.0
41;1.0;-36.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;1.0;-10.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;1.0;-36.99;-3.2;0.0;0.0;0.0;3.2;0.0;0.0;0.0
