ID_CIRC;FROM_BUS;TO_BUS;Pik_MW;Qik_MVAr;Sik_MVA;Pki_MW;Qki_MVAr;Ski_MVA;Cap_MVA;Loading;Ploss_MW;Qloss_MVAr
1;4647;1;-1.0;0.0;-1.0;1.0;0.0;1.0;2186.0;0.0005;0.0;0.0
2;5244;1;1.0;0.0;1.0;-1.0;0.0;-1.0;910.0;0.0011;0.0;0.0
3;1682;2;0.0;0.0;0.0;0.0;0.0;0.0;2441.0;0.0;0.0;0.0
4;1673;3;15.761;0.0;15.761;-15.761;0.0;-15.761;91.0;0.1732;0.0;0.0
5;2303;3;-0.961;0.0;-0.961;0.961;0.0;0.961;215.0;0.0045;0.0;0.0
6;700;4;7.453;0.0;7.453;-7.453;0.0;-7.453;281.0;0.0265;0.0;0.0
7;3939;4;-6.595;0.0;-6.595;6.595;0.0;6.595;226.0;0.0292;0.0;0.0
8;5046;4;48.742;0.0;48.742;-48.742;0.0;-48.742;315.0;0.1547;0.0;0.0
9;4413;5;12.9;0.0;12.9;-12.9;0.0;-12.9;245.0;0.0527;0.0;0.0
10;2779;6;13.0;0.0;13.0;-13.0;0.0;-13.0;1398.0;0.0093;0.0;0.0
11;2780;7;2.3;0.0;2.3;-2.3;0.0;-2.3;884.0;0.0026;0.0;0.0
12;2466;8;15.8;0.0;15.8;-15.8;0.0;-15.8;540.0;0.0293;0.0;0.0
13;470;9;14.9;0.0;14.9;-14.9;0.0;-14.9;194.0;0.0768;0.0;0.0
14;11;10;0.0;0.0;0.0;0.0;0.0;0.0;24078.0;0.0;0.0;0.0
15;11;10;0.0;0.0;0.0;0.0;0.0;0.0;24078.0;0.0;0.0;0.0
16;30;11;3.675;0.0;3.675;-3.675;0.0;-3.675;284.0;0.0129;0.0;0.0
17;2929;11;1.525;0.0;1.525;-1.525;0.0;-1.525;294.0;0.0052;0.0;0.0
18;2181;12;7.783;0.0;7.783;-7.783;0.0;-7.783;487.0;0.016;0.0;0.0
19;4017;12;7.717;0.0;7.717;-7.717;0.0;-7.717;242.0;0.0319;0.0;0.0
20;4019;12;-15.5;0.0;-15.5;15.5;0.0;15.5;60355.0;0.0003;0.0;0.0
21;115;13;0.0;0.0;0.0;0.0;0.0;0.0;737.0;0.0;0.0;0.0
22;2337;13;-268.438;0.0;-268.438;268.438;0.0;268.438;2487.0;0.1079;0.0;0.0
23;4577;13;268.438;0.0;268.438;-268.438;0.0;-268.438;1841.0;0.1458;0.0;0.0
24;116;13;0.0;0.0;0.0;0.0;0.0;0.0;737.0;0.0;0.0;0.0
25;1225;14;-40.362;0.0;-40.362;40.362;0.0;40.362;217.0;0.186;0.0;0.0
26;2874;14;-19.449;0.0;-19.449;19.449;0.0;19.449;565.0;0.0344;0.0;0.0
