ID;BUS;P_MW;Q_MVAr;S_MVA;Loading_P;Loading_Q
1;4;0.0;0.0;0.0;0.0;0.0
2;4;0.0;0.0;0.0;0.0;0.0
3;5;0.0;0.0;0.0;0.0;0.0
4;11;28.0;0.0;28.0;1.0;0.0
5;11;0.0;0.0;0.0;0.0;0.0
6;17;0.0;0.0;0.0;0.0;0.0
7;19;0.0;0.0;0.0;0.0;0.0
8;22;0.0;0.0;0.0;0.0;0.0
9;24;0.0;0.0;0.0;0.0;0.0
10;24;0.0;0.0;0.0;0.0;0.0
11;25;0.0;0.0;0.0;0.0;0.0
12;25;0.0;0.0;0.0;0.0;0.0
13;40;0.0;0.0;0.0;0.0;0.0
14;47;16.0;0.0;16.0;1.0;0.0
15;47;0.0;0.0;0.0;0.0;0.0
16;48;0.0;0.0;0.0;0.0;0.0
17;48;0.0;0.0;0.0;0.0;0.0
18;57;13.0;0.0;13.0;1.0;0.0
19;64;0.0;0.0;0.0;0.0;0.0
20;64;0.0;0.0;0.0;0.0;0.0
21;69;0.0;0.0;0.0;0.0;0.0
22;70;0.0;0.0;0.0;0.0;0.0
23;85;0.0;0.0;0.0;0.0;0.0
24;86;0.0;0.0;0.0;0.0;0.0
25;102;0.0;0.0;0.0;0.0;0.0
26;122;0.0;0.0;0.0;0.0;0.0
27;124;0.0;0.0;0.0;0.0;0.0
28;125;26.0;0.0;26.0;1.0;0.0
29;125;0.0;0.0;0.0;0.0;0.0
30;132;0.0;0.0;0.0;0.0;0.0
31;132;0.0;0.0;0.0;0.0;0.0
32;132;0.0;0.0;0.0;0.0;0.0
33;132;0.0;0.0;0.0;0.0;0.0
34;137;0.0;0.0;0.0;0.0;0.0
35;137;18.0;0.0;18.0;1.0;0.0
36;155;0.0;0.0;0.0;0.0;0.0
37;158;17.9;0.0;17.9;1.0;0.0
38;158;0.0;0.0;0.0;0.0;0.0
39;176;0.0;0.0;0.0;0.0;0.0
40;187;0.0;0.0;0.0;0.0;0.0
41;187;0.0;0.0;0.0;0.0;0.0
42;190;0.0;0.0;0.0;0.0;0.0
43;192;0.0;0.0;0.0;0.0;0.0
44;194;15.0;0.0;15.0;1.0;0.0
45;194;15.0;0.0;15.0;1.0;0.0
46;217;0.0;0.0;0.0;0.0;0.0
47;224;0.0;0.0;0.0;0.0;0.0
48;227;0.0;0.0;0.0;0.0;0.0
49;236;0.0;0.0;0.0;0.0;0.0
50;236;0.0;0.0;0.0;0.0;0.0
51;238;0.0;0.0;0.0;0.0;0.0
52;238;36.0;0.0;36.0;1.0;0.0
53;246;0.0;0.0;0.0;0.0;0.0
54;246;0.0;0.0;0.0;0.0;0.0
55;246;0.0;0.0;0.0;0.0;0.0
56;246;0.0;0.0;0.0;0.0;0.0
57;256;26.0;0.0;26.0;1.0;0.0
58;256;0.0;0.0;0.0;0.0;0.0
59;258;0.0;0.0;0.0;0.0;0.0
60;261;0.0;0.0;0.0;0.0;0.0
61;269;0.0;0.0;0.0;0.0;0.0
62;282;0.0;0.0;0.0;0.0;0.0
63;295;0.0;0.0;0.0;0.0;0.0
64;296;12.0;0.0;12.0;1.0;0.0
65;305;0.0;0.0;0.0;0.0;0.0
66;312;0.0;0.0;0.0;0.0;0.0
67;312;0.0;0.0;0.0;0.0;0.0
68;317;0.0;0.0;0.0;0.0;0.0
69;317;0.0;0.0;0.0;0.0;0.0
70;319;0.0;0.0;0.0;0.0;0.0
71;325;0.0;0.0;0.0;0.0;0.0
72;332;0.0;0.0;0.0;0.0;0.0
73;333;0.0;0.0;0.0;0.0;0.0
74;336;0.0;0.0;0.0;0.0;0.0
75;338;0.0;0.0;0.0;0.0;0.0
76;338;0.0;0.0;0.0;0.0;0.0
77;345;0.0;0.0;0.0;0.0;0.0
78;345;0.0;0.0;0.0;0.0;0.0
79;348;0.0;0.0;0.0;0.0;0.0
80;357;0.0;0.0;0.0;0.0;0.0
81;357;0.0;0.0;0.0;0.0;0.0
82;364;130.0;0.0;130.0;1.0;0.0
83;391;0.0;0.0;0.0;0.0;0.0
84;409;0.0;0.0;0.0;0.0;0.0
85;411;0.0;0.0;0.0;0.0;0.0
86;411;0.0;0.0;0.0;0.0;0.0
87;431;0.0;0.0;0.0;0.0;0.0
88;440;0.0;0.0;0.0;0.0;0.0
89;447;25.0;0.0;25.0;1.0;0.0
90;462;0.0;0.0;0.0;0.0;0.0
91;462;0.0;0.0;0.0;0.0;0.0
92;464;27.0;0.0;27.0;1.0;0.0
93;464;27.0;0.0;27.0;1.0;0.0
94;466;0.0;0.0;0.0;-0.0;0.0
95;470;0.0;0.0;0.0;0.0;0.0
96;470;0.0;0.0;0.0;0.0;0.0
97;479;0.0;0.0;0.0;0.0;0.0
98;479;0.0;0.0;0.0;0.0;0.0
99;479;0.0;0.0;0.0;0.0;0.0
100;491;0.0;0.0;0.0;0.0;0.0
101;508;0.0;0.0;0.0;0.0;0.0
102;519;0.0;0.0;0.0;0.0;0.0
103;520;0.0;0.0;0.0;0.0;0.0
104;530;8.0;0.0;8.0;1.0;0.0
105;530;8.0;0.0;8.0;1.0;0.0
106;530;8.0;0.0;8.0;1.0;0.0
107;537;0.0;0.0;0.0;0.0;0.0
108;537;0.0;0.0;0.0;0.0;0.0
109;546;0.0;0.0;0.0;0.0;0.0
110;548;0.0;0.0;0.0;0.0;0.0
111;570;0.0;0.0;0.0;0.0;0.0
112;570;0.0;0.0;0.0;0.0;0.0
113;570;0.0;0.0;0.0;0.0;0.0
114;583;0.0;0.0;0.0;0.0;0.0
115;585;0.0;0.0;0.0;0.0;0.0
116;586;0.0;0.0;0.0;0.0;0.0
117;589;0.0;0.0;0.0;0.0;0.0
118;593;0.0;0.0;0.0;0.0;0.0
119;600;0.0;0.0;0.0;0.0;0.0
120;610;45.0;0.0;45.0;1.0;0.0
121;610;0.0;0.0;0.0;0.0;0.0
122;612;0.0;0.0;0.0;0.0;0.0
123;612;0.0;0.0;0.0;0.0;0.0
124;612;0.0;0.0;0.0;0.0;0.0
125;613;0.0;0.0;0.0;0.0;0.0
126;613;0.0;0.0;0.0;0.0;0.0
127;624;-8.3;0.0;-8.3;0.0;0.0
128;633;0.0;0.0;0.0;0.0;0.0
129;636;0.0;0.0;0.0;0.0;0.0
130;636;15.0;0.0;15.0;1.0;0.0
131;646;239.0;0.0;239.0;1.0;0.0
132;657;0.0;0.0;0.0;0.0;0.0
133;675;0.0;0.0;0.0;0.0;0.0
134;675;0.0;0.0;0.0;0.0;0.0
135;676;0.0;0.0;0.0;0.0;0.0
136;676;0.0;0.0;0.0;0.0;0.0
137;684;0.0;0.0;0.0;0.0;0.0
138;685;0.0;0.0;0.0;0.0;0.0
139;689;9.0;0.0;9.0;1.0;0.0
140;689;0.0;0.0;0.0;0.0;0.0
141;689;0.0;0.0;0.0;0.0;0.0
142;689;0.0;0.0;0.0;0.0;0.0
143;700;0.0;0.0;0.0;0.0;0.0
144;700;0.0;0.0;0.0;0.0;0.0
145;700;0.0;0.0;0.0;0.0;0.0
146;704;0.0;0.0;0.0;0.0;0.0
147;704;0.0;0.0;0.0;0.0;0.0
148;703;37.0;0.0;37.0;1.0;0.0
149;703;37.0;0.0;37.0;1.0;0.0
150;702;0.0;0.0;0.0;0.0;0.0
151;702;37.0;0.0;37.0;1.0;0.0
152;710;0.0;0.0;0.0;0.0;0.0
153;710;0.0;0.0;0.0;0.0;0.0
154;710;5.7;0.0;5.7;1.0;0.0
155;710;0.0;0.0;0.0;0.0;0.0
156;737;0.0;0.0;0.0;0.0;0.0
157;738;0.0;0.0;0.0;0.0;0.0
158;739;0.0;0.0;0.0;0.0;0.0
159;739;0.0;0.0;0.0;0.0;0.0
160;741;0.0;0.0;0.0;0.0;0.0
161;741;0.0;0.0;0.0;0.0;0.0
162;742;0.0;0.0;0.0;0.0;0.0
163;749;0.0;0.0;0.0;0.0;0.0
164;749;0.0;0.0;0.0;0.0;0.0
165;750;0.0;0.0;0.0;0.0;0.0
166;751;1.0;0.0;1.0;0.0;0.0
167;756;0.0;0.0;0.0;0.0;0.0
168;763;0.0;0.0;0.0;0.0;0.0
169;765;0.0;0.0;0.0;0.0;0.0
170;766;0.0;0.0;0.0;0.0;0.0
171;765;0.0;0.0;0.0;0.0;0.0
172;766;0.0;0.0;0.0;0.0;0.0
173;767;0.0;0.0;0.0;0.0;0.0
174;767;0.0;0.0;0.0;0.0;0.0
175;767;0.0;0.0;0.0;0.0;0.0
176;767;0.0;0.0;0.0;0.0;0.0
177;771;0.0;0.0;0.0;0.0;0.0
178;771;34.0;0.0;34.0;1.0;0.0
179;791;0.0;0.0;0.0;0.0;0.0
180;791;0.0;0.0;0.0;0.0;0.0
181;792;0.0;0.0;0.0;0.0;0.0
182;806;0.0;0.0;0.0;0.0;0.0
183;806;0.0;0.0;0.0;0.0;0.0
184;807;0.0;0.0;0.0;0.0;0.0
185;807;31.0;0.0;31.0;1.0;0.0
186;808;31.0;0.0;31.0;1.0;0.0
187;808;0.0;0.0;0.0;0.0;0.0
188;812;40.8;0.0;40.8;1.0;0.0
189;820;32.0;0.0;32.0;1.0;0.0
190;820;0.0;0.0;0.0;-0.0;0.0
191;821;32.0;0.0;32.0;1.0;0.0
192;821;1.0;0.0;1.0;0.0;0.0
193;821;32.0;0.0;32.0;1.0;0.0
194;821;32.0;0.0;32.0;1.0;0.0
195;831;0.0;0.0;0.0;0.0;0.0
196;831;0.0;0.0;0.0;0.0;0.0
197;834;0.0;0.0;0.0;0.0;0.0
198;835;27.0;0.0;27.0;1.0;0.0
199;836;0.0;0.0;0.0;0.0;0.0
200;838;0.0;0.0;0.0;0.0;0.0
201;838;0.0;0.0;0.0;0.0;0.0
202;841;0.0;0.0;0.0;0.0;0.0
203;843;0.0;0.0;0.0;0.0;0.0
204;843;0.0;0.0;0.0;0.0;0.0
205;862;0.0;0.0;0.0;0.0;0.0
206;862;0.0;0.0;0.0;0.0;0.0
207;869;0.0;0.0;0.0;0.0;0.0
208;870;14.0;0.0;14.0;1.0;0.0
209;890;0.0;0.0;0.0;0.0;0.0
210;890;0.0;0.0;0.0;0.0;0.0
211;894;0.0;0.0;0.0;0.0;0.0
212;894;0.0;0.0;0.0;0.0;0.0
213;894;0.0;0.0;0.0;0.0;0.0
214;894;0.0;0.0;0.0;0.0;0.0
215;912;0.0;0.0;0.0;0.0;0.0
216;945;0.0;0.0;0.0;0.0;0.0
217;949;0.0;0.0;0.0;0.0;0.0
218;970;50.0;0.0;50.0;1.0;0.0
219;972;0.0;0.0;0.0;0.0;0.0
220;978;8.0;0.0;8.0;1.0;0.0
221;978;0.0;0.0;0.0;0.0;0.0
222;988;0.0;0.0;0.0;0.0;0.0
223;988;0.0;0.0;0.0;0.0;0.0
224;988;0.0;0.0;0.0;0.0;0.0
225;990;0.0;0.0;0.0;0.0;0.0
226;992;0.0;0.0;0.0;0.0;0.0
227;1014;0.0;0.0;0.0;0.0;0.0
228;1014;0.0;0.0;0.0;0.0;0.0
229;1018;0.0;0.0;0.0;0.0;0.0
230;1030;0.0;0.0;0.0;0.0;0.0
231;1053;0.0;0.0;0.0;0.0;0.0
232;1055;0.0;0.0;0.0;0.0;0.0
233;1055;0.0;0.0;0.0;0.0;0.0
234;1062;7.0;0.0;7.0;0.0;0.0
235;1063;0.0;0.0;0.0;0.0;0.0
236;1070;0.0;0.0;0.0;0.0;0.0
237;1071;12.0;0.0;12.0;1.0;0.0
238;1075;0.0;0.0;0.0;0.0;0.0
239;1113;14.0;0.0;14.0;0.0;0.0
240;1113;8.0;0.0;8.0;1.0;0.0
241;1113;5.0;0.0;5.0;0.0;0.0
242;1113;5.0;0.0;5.0;0.0;0.0
243;1115;0.0;0.0;0.0;0.0;0.0
244;1115;0.0;0.0;0.0;0.0;0.0
245;1130;0.0;0.0;0.0;0.0;0.0
246;1133;0.0;0.0;0.0;0.0;0.0
247;1140;0.0;0.0;0.0;0.0;0.0
248;1152;0.0;0.0;0.0;0.0;0.0
249;1152;0.0;0.0;0.0;0.0;0.0
