CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
----------------------------------------------------------------------------------------------------------------------------------------------- 
    1   4647      1       -1.00        0.00       -1.00        1.00       0.00         1.00   2186.0000       0.0005        0.000        0.000
    2   5244      1        1.00        0.00        1.00       -1.00       0.00        -1.00   910.0000       0.0011        0.000        0.000
    3   1682      2        0.00        0.00        0.00        0.00       0.00         0.00   2441.0000       0.0000        0.000        0.000
    4   1673      3       15.76        0.00       15.76      -15.76       0.00       -15.76    91.0000       0.1732        0.000        0.000
    5   2303      3       -0.96        0.00       -0.96        0.96       0.00         0.96   215.0000       0.0045        0.000        0.000
    6    700      4        7.45        0.00        7.45       -7.45       0.00        -7.45   281.0000       0.0265        0.000        0.000
    7   3939      4       -6.59        0.00       -6.59        6.59       0.00         6.59   226.0000       0.0292        0.000        0.000
    8   5046      4       48.74        0.00       48.74      -48.74       0.00       -48.74   315.0000       0.1547        0.000        0.000
    9   4413      5       12.90        0.00       12.90      -12.90       0.00       -12.90   245.0000       0.0527        0.000        0.000
   10   2779      6       13.00        0.00       13.00      -13.00       0.00       -13.00   1398.0000       0.0093        0.000        0.000
   11   2780      7        2.30        0.00        2.30       -2.30       0.00        -2.30   884.0000       0.0026        0.000        0.000
   12   2466      8       15.80        0.00       15.80      -15.80       0.00       -15.80   540.0000       0.0293        0.000        0.000
   13    470      9       14.90        0.00       14.90      -14.90       0.00       -14.90   194.0000       0.0768        0.000        0.000
   14     11     10        0.00        0.00        0.00        0.00       0.00         0.00   24078.0000       0.0000        0.000        0.000
   15     11     10        0.00        0.00        0.00        0.00       0.00         0.00   24078.0000       0.0000        0.000        0.000
   16     30     11        3.67        0.00        3.67       -3.67       0.00        -3.67   284.0000       0.0129        0.000        0.000
   17   2929     11        1.52        0.00        1.52       -1.52       0.00        -1.52   294.0000       0.0052        0.000        0.000
   18   2181     12        7.78        0.00        7.78       -7.78       0.00        -7.78   487.0000       0.0160        0.000        0.000
   19   4017     12        7.72        0.00        7.72       -7.72       0.00        -7.72   242.0000       0.0319        0.000        0.000
   20   4019     12      -15.50        0.00      -15.50       15.50       0.00        15.50   60355.0000       0.0003        0.000        0.000
   21    115     13        0.00        0.00        0.00        0.00       0.00         0.00   737.0000       0.0000        0.000        0.000
   22   2337     13     -268.44        0.00     -268.44      268.44       0.00       268.44   2487.0000       0.1079        0.000        0.000
   23   4577     13      268.44        0.00      268.44     -268.44       0.00      -268.44   1841.0000       0.1458        0.000        0.000
   24    116     13        0.00        0.00        0.00        0.00       0.00         0.00   737.0000       0.0000        0.000        0.000
   25   1225     14      -40.36        0.00      -40.36       40.36       0.00        40.36   217.0000       0.1860        0.000        0.000
   26   2874     14      -19.45        0.00      -19.45       19.45       0.00        19.45   565.0000       0.0344        0.000        0.000
   27   4595     14       52.27        0.00       52.27      -52.27       0.00       -52.27   660.0000       0.0792        0.000        0.000
   28   4955     14      -20.41        0.00      -20.41       20.41       0.00        20.41   184.0000       0.1109        0.000        0.000
   29   5230     14       -8.65        0.00       -8.65        8.65       0.00         8.65   270.0000       0.0320        0.000        0.000
   30   2874     14      -19.36        0.00      -19.36       19.36       0.00        19.36   562.0000       0.0344        0.000        0.000
   31   4595     14       52.85        0.00       52.85      -52.85       0.00       -52.85   667.0000       0.0792        0.000        0.000
   32   2906     15      -28.40        0.00      -28.40       28.40       0.00        28.40   284.0000       0.1000        0.000        0.000
   33   4124     15       -6.88        0.00       -6.88        6.88       0.00         6.88   133.0000       0.0517        0.000        0.000
   34   4455     15       35.28        0.00       35.28      -35.28       0.00       -35.28   107.0000       0.3298        0.000        0.000
   35    249     16        4.47        0.00        4.47       -4.47       0.00        -4.47   149.0000       0.0300        0.000        0.000
   36    337     16        9.43        0.00        9.43       -9.43       0.00        -9.43    99.0000       0.0952        0.000        0.000
   37   5834     17       10.90        0.00       10.90      -10.90       0.00       -10.90   457.0000       0.0239        0.000        0.000
   38   3727     18        0.00        0.00        0.00        0.00       0.00         0.00   1194.0000       0.0000        0.000        0.000
   39   5094     19        1.00        0.00        1.00       -1.00       0.00        -1.00   52398.0000       0.0000        0.000        0.000
   40   3727     20        5.60        0.00        5.60       -5.60       0.00        -5.60   5369.0000       0.0010        0.000        0.000
   41   1354     21      -10.56        0.00      -10.56       10.56       0.00        10.56   282.0000       0.0375        0.000        0.000
   42   1598     21       18.16        0.00       18.16      -18.16       0.00       -18.16   313.0000       0.0580        0.000        0.000
   43   1843     22       12.63        0.00       12.63      -12.63       0.00       -12.63    81.0000       0.1560        0.000        0.000
   44   5023     22        5.87        0.00        5.87       -5.87       0.00        -5.87   132.0000       0.0444        0.000        0.000
   45   1157     23       15.16        0.00       15.16      -15.16       0.00       -15.16   234.0000       0.0648        0.000        0.000
   46   2703     23       17.24        0.00       17.24      -17.24       0.00       -17.24   233.0000       0.0740        0.000        0.000
