GENERATORS REPORT
========================================================================== 
   ID     BUS     P_g (MW)  Q_g (MVAr)   S_g (MVA)   Loading_P   Loading_Q 
-------------------------------------------------------------------------- 
    1      4        0.00        0.00        0.00      0.0000      0.0000   
    2      4        0.00        0.00        0.00      0.0000      0.0000   
    3      5        0.00        0.00        0.00      0.0000      0.0000   
    4     11       28.00        0.00       28.00      1.0000      0.0000   
    5     11        0.00        0.00        0.00      0.0000      0.0000   
    6     17        0.00        0.00        0.00      0.0000      0.0000   
    7     19        0.00        0.00        0.00      0.0000      0.0000   
    8     22        0.00        0.00        0.00      0.0000      0.0000   
    9     24        0.00        0.00        0.00      0.0000      0.0000   
   10     24        0.00        0.00        0.00      0.0000      0.0000   
   11     25        0.00        0.00        0.00      0.0000      0.0000   
   12     25        0.00        0.00        0.00      0.0000      0.0000   
   13     40        0.00        0.00        0.00      0.0000      0.0000   
   14     47       16.00        0.00       16.00      1.0000      0.0000   
   15     47        0.00        0.00        0.00      0.0000      0.0000   
   16     48        0.00        0.00        0.00      0.0000      0.0000   
   17     48        0.00        0.00        0.00      0.0000      0.0000   
   18     57       13.00        0.00       13.00      1.0000      0.0000   
   19     64        0.00        0.00        0.00      0.0000      0.0000   
   20     64        0.00        0.00        0.00      0.0000      0.0000   
   21     69        0.00        0.00        0.00      0.0000      0.0000   
   22     70        0.00        0.00        0.00      0.0000      0.0000   
   23     85        0.00        0.00        0.00      0.0000      0.0000   
   24     86        0.00        0.00        0.00      0.0000      0.0000   
   25    102        0.00        0.00        0.00      0.0000      0.0000   
   26    122        0.00        0.00        0.00      0.0000      0.0000   
   27    124        0.00        0.00        0.00      0.0000      0.0000   
   28    125       26.00        0.00       26.00      1.0000      0.0000   
   29    125        0.00        0.00        0.00      0.0000      0.0000   
   30    132        0.00        0.00        0.00      0.0000      0.0000   
   31    132        0.00        0.00        0.00      0.0000      0.0000   
   32    132        0.00        0.00        0.00      0.0000      0.0000   
   33    132        0.00        0.00        0.00      0.0000      0.0000   
   34    137        0.00        0.00        0.00      0.0000      0.0000   
   35    137       18.00        0.00       18.00      1.0000      0.0000   
   36    155        0.00        0.00        0.00      0.0000      0.0000   
   37    158       17.90        0.00       17.90      1.0000      0.0000   
   38    158        0.00        0.00        0.00      0.0000      0.0000   
   39    176        0.00        0.00        0.00      0.0000      0.0000   
   40    187        0.00        0.00        0.00      0.0000      0.0000   
   41    187        0.00        0.00        0.00      0.0000      0.0000   
   42    190        0.00        0.00        0.00      0.0000      0.0000   
   43    192        0.00        0.00        0.00      0.0000      0.0000   
   44    194       15.00        0.00       15.00      1.0000      0.0000   
   45    194       15.00        0.00       15.00      1.0000      0.0000   
   46    217        0.00        0.00        0.00      0.0000      0.0000   
   47    224        0.00        0.00        0.00      0.0000      0.0000   
   48    227        0.00        0.00        0.00      0.0000      0.0000   
   49    236        0.00        0.00        0.00      0.0000      0.0000   
   50    236        0.00        0.00        0.00      0.0000      0.0000   
   51    238        0.00        0.00        0.00      0.0000      0.0000   
   52    238       36.00        0.00       36.00      1.0000      0.0000   
   53    246        0.00        0.00        0.00      0.0000      0.0000   
   54    246        0.00        0.00        0.00      0.0000      0.0000   
   55    246        0.00        0.00        0.00      0.0000      0.0000   
   56    246        0.00        0.00        0.00      0.0000      0.0000   
   57    256       26.00        0.00       26.00      1.0000      0.0000   
   58    256        0.00        0.00        0.00      0.0000      0.0000   
   59    258        0.00        0.00        0.00      0.0000      0.0000   
   60    261        0.00        0.00        0.00      0.0000      0.0000   
   61    269        0.00        0.00        0.00      0.0000      0.0000   
   62    282        0.00        0.00        0.00      0.0000      0.0000   
   63    295        0.00        0.00        0.00      0.0000      0.0000   
   64    296       12.00        0.00       12.00      1.0000      0.0000   
   65    305        0.00        0.00        0.00      0.0000      0.0000   
   66    312        0.00        0.00        0.00      0.0000      0.0000   
   67    312        0.00        0.00        0.00      0.0000      0.0000   
   68    317        0.00        0.00        0.00      0.0000      0.0000   
   69    317        0.00        0.00        0.00      0.0000      0.0000   
   70    319        0.00        0.00        0.00      0.0000      0.0000   
   71    325        0.00        0.00        0.00      0.0000      0.0000   
   72    332        0.00        0.00        0.00      0.0000      0.0000   
   73    333        0.00        0.00        0.00      0.0000      0.0000   
   74    336        0.00        0.00        0.00      0.0000      0.0000   
